Nation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Korea,6118,6618,6047,7089,7068,7606,8564,8920,9081,9513,9972,9927
Indonesia,1799,1414,1296,0,0,0,0,0,0,0,0,0
Israel,11550,11494,11295,11945,11289,10919,11132,11435,12568,11214,10730,11554
Japan,10914,11164,11716,11556,12193,12326,13418,14201,14890,15957,16015,16446
Turkey,4121,0,0,0,0,0,0,0,0,0,0,8193
Canada,14983,0,19992,0,0,0,20278,20903,20932,22475,23226,0
Mexico,4688,4341,6074,5774,5778,6402,6462,6971,7504,8020,7872,7889
United States,20358,22234,20545,24074,22476,24370,25109,27010,29910,29201,25576,26021
Argentina,0,3775,3235,0,0,0,0,0,4411,4579,4680,0
Brazil,0,0,10054,10054,9019,9994,10294,10950,11610,11741,13137,10902
Chile,7483,0,6901,7023,7011,6873,6620,6292,6626,6829,6863,7101
Austria,10851,11274,12448,12344,13959,14775,15148,15039,15043,14257,15007,14895
Belgium,10771,11589,12019,11824,11842,11960,13244,13482,15020,15443,15179,15420
Checo,5431,5555,6236,6774,6752,6649,7989,8209,8318,8237,7635,9392
Denmark,11981,14280,15183,0,15225,14959,15391,16466,17634,18556,18977,21254
Estonia,0,0,0,0,4552,3869,4063,0,0,6373,6501,7868
Finland,8244,10981,11768,12047,12505,12285,12845,13566,15402,16569,16714,18002
Flance,8373,8837,9276,10704,10668,10995,11568,12773,14079,14642,15067,15375
Germany,10898,10504,10999,11594,12255,12446,13016,13823,15390,15711,0,16723
Greece,3402,4280,4731,4924,5593,6130,0,0,0,0,0,0
Hungary,7024,7122,8205,8576,7095,6244,6367,6721,7327,8518,8745,9210
Island,7994,7674,8251,8023,8881,9474,8579,9309,10429,9939,8728,8612
Iiland,11083,10003,9809,9341,10211,10468,11832,12631,16284,16420,16008,16095
Italy,8065,8347,8636,8764,7723,8026,8725,8673,9553,9562,9580,9990
Luxemberg,0,0,0,0,0,0,0,0,0,0,0,0
Netherland,11934,12974,13101,13444,13846,13883,15196,15969,17245,17849,17161,17549
Norway,13353,13189,13739,13772,14997,15552,16235,17140,18942,19269,18512,18840
Poland,3222,3579,4834,4589,4412,5593,5224,5576,7063,7776,8866,9659
Portugal,4766,5199,6960,7200,7741,8787,9724,10398,10373,10481,10578,9640
Slobakia,4949,5285,4756,4678,6535,5783,6056,5736,6560,6758,6904,8177
Spain,6666,7455,8020,8943,9378,10089,11087,12548,13366,13614,13373,13173
Sweden,15097,15188,15715,16073,16218,15946,16991,18361,20014,19961,19562,20818
Swice,18450,20230,23714,25900,21966,21734,22230,20883,21648,21577,21893,22882
England,9657,10753,11822,11866,11484,13506,15447,15463,15310,16338,15862,14223
Augstralia,12854,12688,12416,12406,14036,14579,15016,14726,15043,16074,15142,16267
NewZealand,0,0,0,8832,8866,10262,9288,9905,10526,10619,10418,10582
